clear_cut_group,anomaly
16,pas d'anomalie
44,pas d'anomalie
52,anomalie faible
88,pas d'anomalie
123,pas d'anomalie
132,anomalie faible
135,pas d'anomalie
142,anomalie moyenne
144,anomalie forte
194,pas d'anomalie
232,pas d'anomalie
238,anomalie moyenne
246,anomalie faible
251,pas d'anomalie
252,pas d'anomalie
254,pas d'anomalie
258,pas d'anomalie
271,pas d'anomalie
348,pas d'anomalie
444,pas d'anomalie
471,pas d'anomalie
502,pas d'anomalie
509,pas d'anomalie
239732,pas d'anomalie
531,pas d'anomalie
541,pas d'anomalie
545,anomalie faible
586,pas d'anomalie
608,pas d'anomalie
611,anomalie faible
697,anomalie forte
782,pas d'anomalie
785,pas d'anomalie
799,pas d'anomalie
809,pas d'anomalie
819,pas d'anomalie
872,pas d'anomalie
873,pas d'anomalie
877,pas d'anomalie
921,pas d'anomalie
934,pas d'anomalie
944,pas d'anomalie
951,pas d'anomalie
953,pas d'anomalie
958,pas d'anomalie
961,pas d'anomalie
979,pas d'anomalie
1012,anomalie moyenne
1025,pas d'anomalie
1030,pas d'anomalie
1042,pas d'anomalie
1051,pas d'anomalie
1061,pas d'anomalie
1072,pas d'anomalie
1089,pas d'anomalie
1098,pas d'anomalie
1119,pas d'anomalie
1122,pas d'anomalie
1130,pas d'anomalie
1153,pas d'anomalie
1160,pas d'anomalie
1191,pas d'anomalie
1228,anomalie faible
1258,pas d'anomalie
239769,pas d'anomalie
1285,pas d'anomalie
1334,anomalie forte
1362,pas d'anomalie
1363,pas d'anomalie
1425,pas d'anomalie
1462,pas d'anomalie
1480,pas d'anomalie
1487,pas d'anomalie
1492,pas d'anomalie
1493,pas d'anomalie
1500,pas d'anomalie
1499,pas d'anomalie
1501,pas d'anomalie
1527,pas d'anomalie
1535,pas d'anomalie
1502,pas d'anomalie
1536,pas d'anomalie
1537,pas d'anomalie
1542,pas d'anomalie
1546,pas d'anomalie
1544,pas d'anomalie
1552,pas d'anomalie
1582,pas d'anomalie
1584,pas d'anomalie
1586,pas d'anomalie
1613,anomalie faible
1621,pas d'anomalie
1625,pas d'anomalie
1656,anomalie moyenne
1663,pas d'anomalie
1671,pas d'anomalie
1672,pas d'anomalie
1697,pas d'anomalie
1725,pas d'anomalie
1726,anomalie forte
1781,pas d'anomalie
1795,anomalie faible
1805,pas d'anomalie
1824,pas d'anomalie
1841,pas d'anomalie
1842,pas d'anomalie
1851,pas d'anomalie
1868,pas d'anomalie
1890,anomalie moyenne
1905,pas d'anomalie
1916,anomalie faible
1921,pas d'anomalie
1945,pas d'anomalie
1948,pas d'anomalie
1950,pas d'anomalie
1972,pas d'anomalie
1970,pas d'anomalie
2010,pas d'anomalie
2027,pas d'anomalie
2031,pas d'anomalie
2040,anomalie forte
2058,pas d'anomalie
2086,pas d'anomalie
2088,anomalie faible
2111,pas d'anomalie
2123,pas d'anomalie
2127,pas d'anomalie
2140,pas d'anomalie
2145,anomalie faible
2152,pas d'anomalie
2154,pas d'anomalie
2180,pas d'anomalie
2190,pas d'anomalie
2191,pas d'anomalie
2195,pas d'anomalie
2200,pas d'anomalie
2220,pas d'anomalie
2227,anomalie forte
2226,anomalie faible
2229,pas d'anomalie
2232,anomalie faible
2251,anomalie faible
2271,pas d'anomalie
2273,anomalie moyenne
2197,pas d'anomalie
2179,pas d'anomalie
2309,pas d'anomalie
2312,pas d'anomalie
2344,pas d'anomalie
2364,anomalie faible
2428,pas d'anomalie
2430,pas d'anomalie
2438,pas d'anomalie
2436,pas d'anomalie
2440,pas d'anomalie
2452,pas d'anomalie
2477,anomalie moyenne
2509,pas d'anomalie
2514,pas d'anomalie
2515,pas d'anomalie
2521,pas d'anomalie
2553,pas d'anomalie
2554,pas d'anomalie
2577,pas d'anomalie
2589,pas d'anomalie
2591,pas d'anomalie
2628,pas d'anomalie
2632,pas d'anomalie
2639,pas d'anomalie
2646,anomalie moyenne
2656,anomalie faible
2657,pas d'anomalie
2699,pas d'anomalie
2704,pas d'anomalie
2712,anomalie moyenne
2722,anomalie faible
2775,pas d'anomalie
2781,pas d'anomalie
2787,pas d'anomalie
239861,anomalie faible
2828,pas d'anomalie
2829,pas d'anomalie
2880,pas d'anomalie
2909,pas d'anomalie
2911,pas d'anomalie
2964,pas d'anomalie
2972,anomalie faible
2986,pas d'anomalie
3019,pas d'anomalie
3016,pas d'anomalie
2971,pas d'anomalie
3062,anomalie faible
3129,pas d'anomalie
3143,pas d'anomalie
3193,anomalie faible
3233,anomalie faible
3234,pas d'anomalie
3235,anomalie faible
3236,anomalie moyenne
3251,pas d'anomalie
3273,pas d'anomalie
3291,pas d'anomalie
3306,pas d'anomalie
3308,pas d'anomalie
3316,pas d'anomalie
3325,pas d'anomalie
3327,anomalie moyenne
3321,pas d'anomalie
3339,pas d'anomalie
3340,pas d'anomalie
3347,pas d'anomalie
3348,pas d'anomalie
3361,anomalie faible
3376,anomalie faible
3380,pas d'anomalie
3386,pas d'anomalie
3394,pas d'anomalie
3396,anomalie moyenne
3409,anomalie forte
3411,anomalie forte
3415,anomalie moyenne
3422,anomalie moyenne
3426,pas d'anomalie
3433,anomalie faible
3434,anomalie moyenne
3445,pas d'anomalie
3453,anomalie faible
3458,anomalie forte
3459,pas d'anomalie
3460,anomalie forte
3464,pas d'anomalie
3467,pas d'anomalie
3509,pas d'anomalie
3512,pas d'anomalie
3514,pas d'anomalie
3520,pas d'anomalie
3521,pas d'anomalie
3527,anomalie moyenne
3530,anomalie forte
3534,anomalie forte
3536,anomalie forte
3540,anomalie moyenne
3568,pas d'anomalie
3596,anomalie forte
3599,pas d'anomalie
3648,anomalie faible
3708,pas d'anomalie
3715,pas d'anomalie
3714,pas d'anomalie
3716,pas d'anomalie
3736,pas d'anomalie
3764,pas d'anomalie
3844,pas d'anomalie
3861,anomalie faible
3889,pas d'anomalie
3919,pas d'anomalie
3921,pas d'anomalie
3927,pas d'anomalie
4020,pas d'anomalie
4028,pas d'anomalie
4036,pas d'anomalie
4091,pas d'anomalie
4100,pas d'anomalie
4110,pas d'anomalie
4115,pas d'anomalie
4118,pas d'anomalie
4135,anomalie forte
4145,pas d'anomalie
4158,pas d'anomalie
4168,pas d'anomalie
4171,pas d'anomalie
4201,pas d'anomalie
4221,pas d'anomalie
4225,pas d'anomalie
4227,pas d'anomalie
4231,pas d'anomalie
4239,pas d'anomalie
4264,pas d'anomalie
4277,pas d'anomalie
4289,anomalie forte
4300,pas d'anomalie
4335,pas d'anomalie
4355,anomalie faible
4359,pas d'anomalie
4366,pas d'anomalie
4364,pas d'anomalie
4372,pas d'anomalie
4369,pas d'anomalie
4388,pas d'anomalie
4423,pas d'anomalie
4420,pas d'anomalie
4429,pas d'anomalie
4440,pas d'anomalie
4439,pas d'anomalie
4451,pas d'anomalie
4452,pas d'anomalie
4487,pas d'anomalie
4489,anomalie forte
4503,anomalie faible
4506,pas d'anomalie
4515,pas d'anomalie
4516,anomalie faible
4517,anomalie faible
4519,pas d'anomalie
4569,anomalie forte
4586,pas d'anomalie
4587,pas d'anomalie
4590,pas d'anomalie
4596,anomalie forte
4608,anomalie faible
