clear_cut_group,anomaly
4640,pas d'anomalie
4648,anomalie moyenne
4656,pas d'anomalie
4664,anomalie moyenne
4665,pas d'anomalie
4707,pas d'anomalie
4708,pas d'anomalie
4711,pas d'anomalie
4714,pas d'anomalie
4719,pas d'anomalie
4710,pas d'anomalie
4729,pas d'anomalie
4730,pas d'anomalie
4734,pas d'anomalie
4769,pas d'anomalie
4826,pas d'anomalie
4835,pas d'anomalie
4836,pas d'anomalie
4849,pas d'anomalie
4851,anomalie faible
4853,pas d'anomalie
4887,anomalie faible
4911,pas d'anomalie
4914,pas d'anomalie
4922,pas d'anomalie
4924,pas d'anomalie
4933,pas d'anomalie
4936,anomalie moyenne
4952,pas d'anomalie
4954,anomalie moyenne
5014,pas d'anomalie
5056,pas d'anomalie
5061,pas d'anomalie
5067,anomalie faible
5068,pas d'anomalie
5072,pas d'anomalie
5073,pas d'anomalie
5076,pas d'anomalie
5081,pas d'anomalie
5103,pas d'anomalie
5116,pas d'anomalie
5209,pas d'anomalie
5258,pas d'anomalie
5291,pas d'anomalie
5338,pas d'anomalie
5334,pas d'anomalie
5348,pas d'anomalie
5362,pas d'anomalie
5363,pas d'anomalie
5366,pas d'anomalie
5419,pas d'anomalie
5429,pas d'anomalie
5460,pas d'anomalie
5483,pas d'anomalie
5486,pas d'anomalie
5517,pas d'anomalie
5545,pas d'anomalie
5557,pas d'anomalie
5561,pas d'anomalie
5564,pas d'anomalie
5610,pas d'anomalie
5634,pas d'anomalie
5644,pas d'anomalie
5668,pas d'anomalie
5617,pas d'anomalie
5676,pas d'anomalie
5687,pas d'anomalie
5702,pas d'anomalie
5725,pas d'anomalie
5733,pas d'anomalie
5755,pas d'anomalie
5766,pas d'anomalie
5769,pas d'anomalie
5800,pas d'anomalie
5815,pas d'anomalie
5820,pas d'anomalie
5826,anomalie moyenne
5834,anomalie forte
5876,pas d'anomalie
5917,anomalie faible
5914,pas d'anomalie
5922,pas d'anomalie
5992,pas d'anomalie
6047,pas d'anomalie
6074,pas d'anomalie
6083,pas d'anomalie
6108,pas d'anomalie
6216,pas d'anomalie
6248,pas d'anomalie
6308,pas d'anomalie
6319,pas d'anomalie
6343,pas d'anomalie
6303,pas d'anomalie
6349,pas d'anomalie
6351,pas d'anomalie
6362,pas d'anomalie
6369,pas d'anomalie
6372,pas d'anomalie
6376,pas d'anomalie
6384,pas d'anomalie
6399,pas d'anomalie
6404,pas d'anomalie
6426,pas d'anomalie
6447,pas d'anomalie
6456,pas d'anomalie
6478,pas d'anomalie
6544,pas d'anomalie
6550,pas d'anomalie
6583,pas d'anomalie
6599,pas d'anomalie
6648,pas d'anomalie
6653,pas d'anomalie
6694,pas d'anomalie
6707,pas d'anomalie
6752,pas d'anomalie
6751,pas d'anomalie
6773,pas d'anomalie
6792,pas d'anomalie
6803,pas d'anomalie
6831,pas d'anomalie
6836,pas d'anomalie
6841,pas d'anomalie
6848,pas d'anomalie
6863,pas d'anomalie
6914,pas d'anomalie
6924,pas d'anomalie
6928,pas d'anomalie
7014,pas d'anomalie
7031,pas d'anomalie
7080,pas d'anomalie
7114,pas d'anomalie
7115,pas d'anomalie
7126,pas d'anomalie
7129,pas d'anomalie
7136,pas d'anomalie
7147,pas d'anomalie
7190,pas d'anomalie
7223,pas d'anomalie
7232,pas d'anomalie
7244,anomalie faible
7245,pas d'anomalie
7322,pas d'anomalie
7325,pas d'anomalie
7334,pas d'anomalie
7405,pas d'anomalie
7445,pas d'anomalie
7503,pas d'anomalie
7537,pas d'anomalie
7552,pas d'anomalie
7574,pas d'anomalie
7590,pas d'anomalie
7634,pas d'anomalie
7641,pas d'anomalie
7661,pas d'anomalie
7665,pas d'anomalie
7677,pas d'anomalie
7709,pas d'anomalie
7718,pas d'anomalie
7727,pas d'anomalie
7729,pas d'anomalie
7736,pas d'anomalie
7750,pas d'anomalie
7748,pas d'anomalie
7763,pas d'anomalie
7804,pas d'anomalie
7850,pas d'anomalie
7865,pas d'anomalie
7888,pas d'anomalie
7961,pas d'anomalie
7972,pas d'anomalie
7991,pas d'anomalie
8003,pas d'anomalie
8046,pas d'anomalie
8058,pas d'anomalie
8076,pas d'anomalie
8062,pas d'anomalie
8086,pas d'anomalie
8090,pas d'anomalie
8130,pas d'anomalie
8132,pas d'anomalie
8150,pas d'anomalie
8163,pas d'anomalie
8164,pas d'anomalie
8166,pas d'anomalie
8186,pas d'anomalie
8209,pas d'anomalie
8223,anomalie faible
8229,pas d'anomalie
8267,pas d'anomalie
8269,pas d'anomalie
8279,pas d'anomalie
8360,pas d'anomalie
8382,pas d'anomalie
8384,pas d'anomalie
8388,pas d'anomalie
8413,pas d'anomalie
8420,pas d'anomalie
8466,pas d'anomalie
8469,pas d'anomalie
8564,pas d'anomalie
8570,pas d'anomalie
8593,pas d'anomalie
8649,anomalie faible
8650,pas d'anomalie
8701,pas d'anomalie
8702,pas d'anomalie
8744,pas d'anomalie
8769,pas d'anomalie
8776,pas d'anomalie
8766,pas d'anomalie
8854,pas d'anomalie
8864,pas d'anomalie
8934,anomalie moyenne
8935,anomalie faible
8936,anomalie faible
8963,pas d'anomalie
8968,anomalie faible
8947,pas d'anomalie
8992,pas d'anomalie
8993,pas d'anomalie
8991,pas d'anomalie
8994,pas d'anomalie
9023,pas d'anomalie
9095,pas d'anomalie
9097,pas d'anomalie
9109,pas d'anomalie
9132,pas d'anomalie
9140,pas d'anomalie
9164,pas d'anomalie
9169,pas d'anomalie
9168,pas d'anomalie
9174,pas d'anomalie
9181,pas d'anomalie
9163,pas d'anomalie
9198,pas d'anomalie
9267,pas d'anomalie
9331,pas d'anomalie
9358,pas d'anomalie
9359,pas d'anomalie
9382,pas d'anomalie
9388,pas d'anomalie
9394,pas d'anomalie
9410,pas d'anomalie
9414,pas d'anomalie
9420,pas d'anomalie
9432,pas d'anomalie
9543,pas d'anomalie
9544,pas d'anomalie
9584,pas d'anomalie
9619,pas d'anomalie
9656,pas d'anomalie
9662,pas d'anomalie
9674,pas d'anomalie
9698,pas d'anomalie
9705,pas d'anomalie
9708,pas d'anomalie
9714,pas d'anomalie
9746,pas d'anomalie
9754,pas d'anomalie
9805,pas d'anomalie
9844,pas d'anomalie
9907,pas d'anomalie
9916,pas d'anomalie
9924,pas d'anomalie
9954,pas d'anomalie
9969,pas d'anomalie
10010,pas d'anomalie
10066,pas d'anomalie
10102,pas d'anomalie
10111,pas d'anomalie
10116,pas d'anomalie
10185,pas d'anomalie
10187,pas d'anomalie
10191,pas d'anomalie
10186,pas d'anomalie
10200,pas d'anomalie
10244,anomalie forte
10252,pas d'anomalie
10318,pas d'anomalie
10328,pas d'anomalie
10356,pas d'anomalie
10392,pas d'anomalie
10420,pas d'anomalie
10449,pas d'anomalie
10455,pas d'anomalie
10458,pas d'anomalie
10475,pas d'anomalie
10476,pas d'anomalie
10482,pas d'anomalie
10494,pas d'anomalie
10499,pas d'anomalie
10507,pas d'anomalie
10519,pas d'anomalie
10521,anomalie faible
10527,pas d'anomalie
10492,pas d'anomalie
10591,pas d'anomalie
10590,pas d'anomalie
10624,pas d'anomalie
10678,pas d'anomalie
10794,pas d'anomalie
10863,anomalie faible
10890,pas d'anomalie
10924,pas d'anomalie
10945,pas d'anomalie
10958,pas d'anomalie
10959,pas d'anomalie
10967,pas d'anomalie
10971,pas d'anomalie
11004,pas d'anomalie
11016,anomalie moyenne
11068,pas d'anomalie
11172,pas d'anomalie
11208,pas d'anomalie
11268,pas d'anomalie
11273,pas d'anomalie
11277,pas d'anomalie
11306,pas d'anomalie
11310,pas d'anomalie
11312,pas d'anomalie
11311,pas d'anomalie
11313,pas d'anomalie
11339,pas d'anomalie
11352,pas d'anomalie
11377,pas d'anomalie
11394,pas d'anomalie
11401,pas d'anomalie
11408,pas d'anomalie
11420,pas d'anomalie
11439,pas d'anomalie
11448,pas d'anomalie
11455,pas d'anomalie
11456,pas d'anomalie
11457,pas d'anomalie
11471,anomalie faible
11488,pas d'anomalie
11491,pas d'anomalie
11510,pas d'anomalie
11520,anomalie faible
11522,pas d'anomalie
11538,pas d'anomalie
11573,pas d'anomalie
11575,pas d'anomalie
11588,pas d'anomalie
11595,pas d'anomalie
11603,pas d'anomalie
11604,pas d'anomalie
11634,anomalie moyenne
11669,pas d'anomalie
11688,pas d'anomalie
11714,pas d'anomalie
11717,pas d'anomalie
11723,pas d'anomalie
11724,pas d'anomalie
11775,anomalie forte
11791,pas d'anomalie
11813,pas d'anomalie
11838,pas d'anomalie
11848,pas d'anomalie
11890,pas d'anomalie
11925,pas d'anomalie
11928,pas d'anomalie
11930,pas d'anomalie
11940,anomalie faible
11945,pas d'anomalie
11978,pas d'anomalie
12017,anomalie faible
12027,pas d'anomalie
12029,pas d'anomalie
12034,pas d'anomalie
12061,anomalie faible
12072,pas d'anomalie
12096,pas d'anomalie
12105,pas d'anomalie
12112,pas d'anomalie
12155,pas d'anomalie
12153,pas d'anomalie
12156,pas d'anomalie
12187,pas d'anomalie
12197,pas d'anomalie
12220,pas d'anomalie
12233,anomalie faible
12240,pas d'anomalie
12242,pas d'anomalie
12299,pas d'anomalie
12317,pas d'anomalie
12328,pas d'anomalie
12332,pas d'anomalie
12333,anomalie forte
12341,pas d'anomalie
12338,pas d'anomalie
12378,pas d'anomalie
12396,pas d'anomalie
12434,pas d'anomalie
12441,pas d'anomalie
12446,pas d'anomalie
12455,pas d'anomalie
12473,pas d'anomalie
12501,pas d'anomalie
12511,pas d'anomalie
12515,pas d'anomalie
12518,pas d'anomalie
12524,pas d'anomalie
12534,pas d'anomalie
12561,pas d'anomalie
11949,pas d'anomalie
12460,pas d'anomalie
12629,anomalie faible
12645,pas d'anomalie
12646,pas d'anomalie
12664,pas d'anomalie
12695,pas d'anomalie
12696,pas d'anomalie
12699,anomalie faible
12731,pas d'anomalie
12748,pas d'anomalie
12749,pas d'anomalie
12750,pas d'anomalie
12751,pas d'anomalie
12754,pas d'anomalie
12755,pas d'anomalie
12758,pas d'anomalie
12759,pas d'anomalie
12760,pas d'anomalie
12762,pas d'anomalie
12763,pas d'anomalie
12767,pas d'anomalie
12768,pas d'anomalie
12772,pas d'anomalie
12773,pas d'anomalie
12777,pas d'anomalie
12781,pas d'anomalie
12782,pas d'anomalie
12783,pas d'anomalie
12785,pas d'anomalie
12788,pas d'anomalie
12791,anomalie faible
12794,pas d'anomalie
12801,pas d'anomalie
12798,pas d'anomalie
12803,anomalie moyenne
12808,pas d'anomalie
12809,pas d'anomalie
12769,pas d'anomalie
12810,pas d'anomalie
12823,pas d'anomalie
12826,pas d'anomalie
12827,pas d'anomalie
12828,pas d'anomalie
12830,pas d'anomalie
12829,pas d'anomalie
12848,pas d'anomalie
12873,pas d'anomalie
12882,anomalie forte
12889,pas d'anomalie
12904,pas d'anomalie
12912,anomalie forte
12914,pas d'anomalie
12916,pas d'anomalie
12925,pas d'anomalie
12970,pas d'anomalie
12992,pas d'anomalie
12993,pas d'anomalie
12997,pas d'anomalie
13010,pas d'anomalie
13015,pas d'anomalie
13017,pas d'anomalie
13024,anomalie faible
13030,pas d'anomalie
13034,pas d'anomalie
13035,pas d'anomalie
13036,pas d'anomalie
13037,pas d'anomalie
13057,pas d'anomalie
13077,pas d'anomalie
13079,pas d'anomalie
13136,pas d'anomalie
13181,pas d'anomalie
13209,pas d'anomalie
13212,pas d'anomalie
13255,pas d'anomalie
13256,pas d'anomalie
13269,pas d'anomalie
13307,pas d'anomalie
13308,pas d'anomalie
13314,pas d'anomalie
13322,pas d'anomalie
13340,pas d'anomalie
13342,pas d'anomalie
13343,pas d'anomalie
13347,pas d'anomalie
13350,pas d'anomalie
13352,pas d'anomalie
13354,pas d'anomalie
13364,pas d'anomalie
13372,pas d'anomalie
13393,pas d'anomalie
13404,pas d'anomalie
13420,pas d'anomalie
13426,pas d'anomalie
13477,pas d'anomalie
13490,pas d'anomalie
13492,anomalie faible
13494,pas d'anomalie
13498,pas d'anomalie
13506,pas d'anomalie
13510,pas d'anomalie
13518,pas d'anomalie
13608,pas d'anomalie
13617,pas d'anomalie
13618,pas d'anomalie
13620,pas d'anomalie
13629,pas d'anomalie
13630,pas d'anomalie
13632,pas d'anomalie
13654,pas d'anomalie
13656,pas d'anomalie
13655,pas d'anomalie
13668,pas d'anomalie
13716,pas d'anomalie
13725,pas d'anomalie
13739,pas d'anomalie
13741,pas d'anomalie
13743,pas d'anomalie
13745,pas d'anomalie
13750,pas d'anomalie
13753,pas d'anomalie
13762,pas d'anomalie
13816,pas d'anomalie
13820,pas d'anomalie
13843,pas d'anomalie
13872,pas d'anomalie
13881,pas d'anomalie
13908,pas d'anomalie
13924,pas d'anomalie
13948,anomalie moyenne
13950,pas d'anomalie
13951,anomalie moyenne
13957,pas d'anomalie
13967,pas d'anomalie
13971,pas d'anomalie
13978,pas d'anomalie
13976,pas d'anomalie
13981,anomalie faible
14041,pas d'anomalie
14083,pas d'anomalie
14150,pas d'anomalie
14175,pas d'anomalie
14190,pas d'anomalie
14197,pas d'anomalie
14216,pas d'anomalie
14219,pas d'anomalie
14237,pas d'anomalie
14244,pas d'anomalie
14291,pas d'anomalie
14300,pas d'anomalie
14312,pas d'anomalie
14313,pas d'anomalie
14329,pas d'anomalie
14337,pas d'anomalie
14362,pas d'anomalie
14369,pas d'anomalie
14390,pas d'anomalie
14414,pas d'anomalie
14415,pas d'anomalie
14462,pas d'anomalie
14478,pas d'anomalie
14495,pas d'anomalie
14505,pas d'anomalie
14510,pas d'anomalie
14550,pas d'anomalie
14557,pas d'anomalie
14559,pas d'anomalie
14565,pas d'anomalie
14571,pas d'anomalie
14576,pas d'anomalie
14579,pas d'anomalie
14586,pas d'anomalie
14601,pas d'anomalie
14612,pas d'anomalie
14614,pas d'anomalie
14525,pas d'anomalie
14619,pas d'anomalie
14639,pas d'anomalie
14640,pas d'anomalie
14660,pas d'anomalie
14674,pas d'anomalie
14675,pas d'anomalie
14632,anomalie faible
14685,pas d'anomalie
14691,pas d'anomalie
14735,pas d'anomalie
14752,pas d'anomalie
14759,pas d'anomalie
14805,pas d'anomalie
14811,pas d'anomalie
14817,pas d'anomalie
14822,pas d'anomalie
14826,pas d'anomalie
14827,pas d'anomalie
14867,pas d'anomalie
14885,pas d'anomalie
14915,pas d'anomalie
14941,pas d'anomalie
14947,pas d'anomalie
14959,pas d'anomalie
14971,pas d'anomalie
14976,pas d'anomalie
15009,pas d'anomalie
15024,pas d'anomalie
15025,pas d'anomalie
15060,pas d'anomalie
15173,pas d'anomalie
15178,pas d'anomalie
15177,pas d'anomalie
15196,pas d'anomalie
15198,pas d'anomalie
15212,pas d'anomalie
15236,pas d'anomalie
15250,pas d'anomalie
15253,anomalie forte
15254,anomalie faible
15307,pas d'anomalie
15313,pas d'anomalie
15314,pas d'anomalie
15374,pas d'anomalie
15378,pas d'anomalie
15385,anomalie faible
15391,anomalie moyenne
15415,pas d'anomalie
15431,pas d'anomalie
15441,pas d'anomalie
15460,pas d'anomalie
15482,pas d'anomalie
15481,pas d'anomalie
15548,pas d'anomalie
15645,pas d'anomalie
15662,pas d'anomalie
15661,pas d'anomalie
15670,pas d'anomalie
15677,pas d'anomalie
15679,pas d'anomalie
15718,pas d'anomalie
15775,pas d'anomalie
15787,pas d'anomalie
15797,anomalie faible
15799,pas d'anomalie
15801,pas d'anomalie
15804,anomalie forte
15823,pas d'anomalie
15828,pas d'anomalie
15849,pas d'anomalie
15909,pas d'anomalie
15935,pas d'anomalie
15970,pas d'anomalie
15990,pas d'anomalie
15991,pas d'anomalie
16075,pas d'anomalie
16147,pas d'anomalie
16204,pas d'anomalie
16212,pas d'anomalie
16219,pas d'anomalie
16233,pas d'anomalie
16242,pas d'anomalie
240710,pas d'anomalie
16254,pas d'anomalie
16259,pas d'anomalie
16264,pas d'anomalie
16267,pas d'anomalie
16276,pas d'anomalie
16353,pas d'anomalie
16355,pas d'anomalie
16356,pas d'anomalie
16371,pas d'anomalie
16378,pas d'anomalie
16379,pas d'anomalie
16391,pas d'anomalie
16402,pas d'anomalie
16414,pas d'anomalie
16417,pas d'anomalie
16424,pas d'anomalie
16428,pas d'anomalie
16446,pas d'anomalie
16466,pas d'anomalie
16475,pas d'anomalie
16571,pas d'anomalie
16590,pas d'anomalie
16610,pas d'anomalie
16617,pas d'anomalie
16632,pas d'anomalie
16656,pas d'anomalie
16701,pas d'anomalie
16710,pas d'anomalie
16716,pas d'anomalie
16731,pas d'anomalie
16737,pas d'anomalie
16740,pas d'anomalie
16756,pas d'anomalie
16785,pas d'anomalie
16787,pas d'anomalie
16809,pas d'anomalie
16851,pas d'anomalie
16870,pas d'anomalie
16892,pas d'anomalie
16914,pas d'anomalie
16913,pas d'anomalie
16908,anomalie faible
16929,pas d'anomalie
16955,pas d'anomalie
16971,pas d'anomalie
16980,pas d'anomalie
16993,pas d'anomalie
16999,pas d'anomalie
17049,pas d'anomalie
17071,pas d'anomalie
17081,pas d'anomalie
17088,pas d'anomalie
17094,pas d'anomalie
17099,pas d'anomalie
17104,pas d'anomalie
17112,pas d'anomalie
17108,pas d'anomalie
17123,pas d'anomalie
17133,pas d'anomalie
17132,pas d'anomalie
17202,anomalie faible
17225,pas d'anomalie
17230,pas d'anomalie
17244,anomalie faible
17253,pas d'anomalie
17314,pas d'anomalie
17318,pas d'anomalie
17359,pas d'anomalie
17367,pas d'anomalie
17385,pas d'anomalie
17402,pas d'anomalie
17430,pas d'anomalie
17437,pas d'anomalie
17450,pas d'anomalie
17472,pas d'anomalie
17475,pas d'anomalie
17476,pas d'anomalie
17487,pas d'anomalie
17491,pas d'anomalie
17509,pas d'anomalie
17530,pas d'anomalie
17563,pas d'anomalie
17570,anomalie faible
17571,anomalie faible
17592,pas d'anomalie
17603,pas d'anomalie
17607,pas d'anomalie
17622,anomalie faible
17625,pas d'anomalie
17635,pas d'anomalie
17637,pas d'anomalie
17638,pas d'anomalie
17651,pas d'anomalie
17667,pas d'anomalie
17673,pas d'anomalie
17681,pas d'anomalie
17685,pas d'anomalie
17713,pas d'anomalie
17722,pas d'anomalie
17757,pas d'anomalie
17767,pas d'anomalie
17771,pas d'anomalie
17778,pas d'anomalie
17783,pas d'anomalie
17781,pas d'anomalie
17798,pas d'anomalie
17830,anomalie moyenne
17868,pas d'anomalie
17870,pas d'anomalie
17886,anomalie forte
17902,anomalie faible
17907,pas d'anomalie
17908,pas d'anomalie
17928,pas d'anomalie
17929,pas d'anomalie
17940,pas d'anomalie
17954,pas d'anomalie
17996,anomalie faible
17997,anomalie faible
17998,anomalie forte
18008,pas d'anomalie
18054,pas d'anomalie
18097,pas d'anomalie
18113,pas d'anomalie
18114,pas d'anomalie
18119,pas d'anomalie
18121,anomalie faible
18130,pas d'anomalie
18180,pas d'anomalie
18186,pas d'anomalie
18207,pas d'anomalie
18220,anomalie faible
18232,pas d'anomalie
18238,pas d'anomalie
18249,pas d'anomalie
18323,pas d'anomalie
18328,pas d'anomalie
18338,pas d'anomalie
18339,pas d'anomalie
18358,anomalie faible
18363,anomalie forte
18387,pas d'anomalie
18423,pas d'anomalie
18424,pas d'anomalie
18453,pas d'anomalie
18451,pas d'anomalie
18508,pas d'anomalie
18509,anomalie faible
18512,pas d'anomalie
18521,pas d'anomalie
18526,pas d'anomalie
18539,anomalie faible
18541,pas d'anomalie
18544,pas d'anomalie
18549,pas d'anomalie
18561,anomalie faible
18578,pas d'anomalie
18579,anomalie faible
18580,pas d'anomalie
18606,pas d'anomalie
18607,pas d'anomalie
18610,pas d'anomalie
18612,pas d'anomalie
18616,pas d'anomalie
18645,pas d'anomalie
18646,pas d'anomalie
18648,pas d'anomalie
18658,pas d'anomalie
18669,pas d'anomalie
18685,pas d'anomalie
18692,pas d'anomalie
18695,pas d'anomalie
18694,pas d'anomalie
18698,pas d'anomalie
18708,pas d'anomalie
18717,pas d'anomalie
18753,pas d'anomalie
18767,pas d'anomalie
18778,pas d'anomalie
18786,pas d'anomalie
18793,pas d'anomalie
18823,pas d'anomalie
18826,pas d'anomalie
18828,pas d'anomalie
18835,pas d'anomalie
18848,pas d'anomalie
18856,pas d'anomalie
18870,pas d'anomalie
18720,pas d'anomalie
18878,pas d'anomalie
18895,pas d'anomalie
18911,pas d'anomalie
18910,pas d'anomalie
18932,pas d'anomalie
18937,pas d'anomalie
18941,pas d'anomalie
18947,pas d'anomalie
18960,pas d'anomalie
18961,pas d'anomalie
18967,pas d'anomalie
18973,pas d'anomalie
18975,pas d'anomalie
18984,anomalie faible
18985,pas d'anomalie
18991,pas d'anomalie
19004,pas d'anomalie
19022,pas d'anomalie
19027,pas d'anomalie
19029,pas d'anomalie
19052,pas d'anomalie
19051,pas d'anomalie
